Squad,total_comp%,short_comp%,medium_comp%,long_comp%
Arsenal,84.3,91.7,89.1,51.6
Aston Villa,82.9,90.4,89.0,53.1
Bournemouth,76.2,86.1,84.5,48.1
Brentford,78.1,86.8,84.7,53.1
Brighton,82.4,90.4,87.4,55.2
Chelsea,84.9,91.7,90.4,55.5
Crystal Palace,75.6,85.7,83.7,44.7
Everton,75.4,86.0,84.0,52.2
Fulham,81.8,89.5,88.1,55.3
Ipswich Town,77.7,88.2,85.2,46.5
Leicester City,79.5,89.4,86.7,45.0
Liverpool,84.1,91.7,88.5,55.8
Manchester City,88.2,92.8,91.8,62.5
Manchester Utd,82.4,90.2,88.2,50.9
Newcastle Utd,81.2,89.3,87.6,50.5
Nott'ham Forest,74.8,87.4,80.2,43.6
Southampton,84.0,91.2,89.9,52.4
Tottenham,83.5,90.2,89.2,54.6
West Ham,80.3,88.7,87.1,52.4
Wolves,80.3,89.7,87.6,49.6
