Squad,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Arsenal,157,32.6,14.15,4.62,0.12,0.38
Aston Villa,145,33.1,12.88,4.26,0.11,0.34
Bournemouth,176,33.9,15.73,5.33,0.09,0.26
Brentford,148,39.7,11.3,4.48,0.14,0.34
Brighton,152,33.6,13.7,4.61,0.1,0.3
Chelsea,183,34.1,16.27,5.55,0.1,0.29
Crystal Palace,149,33.3,13.18,4.38,0.09,0.26
Everton,116,33.0,10.67,3.52,0.08,0.25
Fulham,143,33.1,13.09,4.33,0.1,0.31
Ipswich Town,105,33.5,9.48,3.18,0.1,0.29
Leicester City,91,31.5,8.76,2.76,0.09,0.27
Liverpool,194,34.8,16.88,5.88,0.12,0.34
Manchester City,193,35.9,15.79,5.68,0.12,0.33
Manchester Utd,142,32.6,13.21,4.3,0.08,0.23
Newcastle Utd,139,31.8,13.24,4.21,0.13,0.41
Nott'ham Forest,142,35.6,12.09,4.3,0.12,0.35
Southampton,97,31.2,9.42,2.94,0.07,0.24
Tottenham,169,36.4,14.06,5.12,0.12,0.33
West Ham,116,28.0,12.58,3.52,0.07,0.27
Wolves,138,37.8,11.06,4.18,0.13,0.34
